eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
116.48148148148148,0.5074074074074074,507,1.4296581e-06,0.0,2.9444375,-6.438946e-05,0.008778442,0.04815024137496948,1,512,16.140813095029444,8192
136.88,0.4380000000000001,635,7.3049495e-07,0.0,2.9444308,-4.0429237e-05,0.0074634943,0.2959420084953308,2,1024,29.16610879614018,16384
149.74,0.40300000000000014,660,1.52034e-06,0.0,2.944419,-8.7228196e-05,0.0055547464,0.4590343236923218,3,1536,41.57370338309556,24576
147.02,0.4590000000000001,629,2.3333416e-06,0.0,2.9443905,-0.000103175014,0.0060464786,0.4984673261642456,4,2048,54.59222286310978,32768
135.72,0.4260000000000001,642,3.3451413e-06,0.0,2.9443443,-0.000116342795,0.0071081216,0.467202365398407,5,2560,67.34777128999121,40960
139.22,0.46900000000000014,647,4.8263173e-06,0.0,2.9442759,-9.752161e-05,0.007929558,0.40881288051605225,6,3072,80.00050537101924,49152
152.44,0.4640000000000001,629,1.013272e-05,0.0,2.9441462,-0.0001775514,0.005830935,0.4747917056083679,7,3584,93.01180046307854,57344
143.72,0.467,646,3.7066766e-05,0.0,2.943781,-0.00040178886,0.00869712,0.45799702405929565,8,4096,105.6894206830766,65536
143.2,0.46900000000000014,631,9.6295626e-05,0.0,2.9427717,-0.0004404,0.0048947465,0.5149946808815002,9,4608,118.65484203817323,73728
150.32,0.48500000000000015,659,0.0004775314,0.012023926,2.9397564,-0.0011870165,0.0063853962,0.5458008348941803,10,5120,131.0806582570076,81920
146.92,0.564,617,0.0012398942,0.041381836,2.9293175,-0.0012041236,0.007492499,0.5542410314083099,11,5632,144.3447662279941,90112
124.69,0.586,620,0.0001618667,0.0,2.9258862,-0.0003630665,0.007306504,0.6119560599327087,12,6144,157.5512696960941,98304
126.38,0.6350000000000001,646,0.00065364793,0.009155273,2.916761,-0.0007775833,0.010075462,0.5376731157302856,13,6656,170.22424348909408,106496
134.31,0.6140000000000001,639,0.0003676181,0.0036010742,2.906563,-0.00089105905,0.007758342,0.6126075088977814,14,7168,183.03504126309417,114688
101.69,0.6260000000000001,611,0.0006812862,0.016052246,2.8906343,-0.0005257262,0.0067209336,0.6795523166656494,15,7680,196.4397420550231,122880
112.0,0.637,632,0.00046160107,0.0048828125,2.8872933,-0.00026699237,0.007017036,0.620246171951294,16,8192,209.3878388791345,131072
113.27,0.679,640,0.0010528098,0.01727295,2.8567677,-0.0014059361,0.0043834196,0.7299226522445679,17,8704,222.17901102802716,139264
127.81,0.6540000000000002,619,0.00063484703,0.003479004,2.8728256,-2.7018832e-05,0.0041049314,0.7155321538448334,18,9216,235.39347746106796,147456
106.4,0.654,625,0.0005516322,0.008544922,2.8613694,-0.0009847216,0.0049880543,0.7083196043968201,19,9728,248.48059779312462,155648
102.13,0.6650000000000001,632,0.00027641872,0.00061035156,2.8718433,-0.00019657053,0.0036021026,0.7381584346294403,20,10240,261.4386986789759,163840
