eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
114.05357142857143,0.5410714285714286,345,3.8553417e-06,0.0,2.944435,-8.935807e-05,0.012610815,0.04508179426193237,1,512,23.721085445955396,8192
141.53,0.5810000000000002,387,1.506462e-06,0.0,2.944421,-3.273008e-05,0.014648626,0.148503839969635,2,1024,45.00641971989535,16384
161.21,0.6010000000000001,389,1.8727715e-06,0.0,2.944408,-3.8403698e-05,0.0076711276,0.46711885929107666,3,1536,66.06363156298175,24576
156.66,0.6080000000000001,396,2.093479e-06,0.0,2.9443867,-6.3660846e-05,0.008570599,0.4918935298919678,4,2048,86.69920814596117,32768
166.37,0.5180000000000001,390,2.9504245e-06,0.0,2.9443412,-8.596177e-05,0.00781661,0.5304868519306183,5,2560,107.65697179595008,40960
177.63,0.4770000000000001,394,4.630223e-06,0.0,2.9442918,-9.0835994e-05,0.010631547,0.4869624376296997,6,3072,128.445329581853,49152
156.89,0.519,399,4.3814707e-06,0.0,2.944227,-5.937669e-05,0.01006622,0.5290816724300385,7,3584,148.9437988428399,57344
172.89,0.525,425,5.397417e-06,0.0,2.9441245,-0.0001042581,0.008638983,0.5466081202030182,8,4096,168.18803603295237,65536
180.84,0.548,407,1.5467418e-05,0.0,2.9438937,-0.00013532923,0.010952921,0.5285065770149231,9,4608,188.2889972468838,73728
144.0,0.6,399,1.718038e-05,0.0,2.9435,-6.658776e-05,0.010335906,0.5549313724040985,10,5120,208.78671101597138,81920
147.06,0.5740000000000001,411,1.1083449e-05,0.0,2.943108,-0.0001196052,0.007276127,0.5859614312648773,11,5632,228.67182340100408,90112
162.35,0.5120000000000001,406,2.5919348e-05,0.0,2.9427423,-0.0001742965,0.00840551,0.5388734638690948,12,6144,248.84173169592395,98304
160.1,0.512,401,9.635677e-05,0.0,2.9413705,-0.0002311815,0.0064353095,0.5624293982982635,13,6656,269.2672070248518,106496
128.03,0.6029999999999999,384,0.00014968752,0.0,2.9385755,-0.00027232553,0.007500245,0.5915219187736511,14,7168,290.58086384786293,114688
136.77,0.59,396,0.0002981652,0.0,2.9344666,-0.0004172332,0.0072980695,0.47973787784576416,15,7680,311.25004618102685,122880
173.42,0.473,416,0.00026386185,0.0,2.9280627,-0.00040010293,0.010847937,0.39692580699920654,16,8192,330.9067723439075,131072
147.76,0.551,383,0.00086110504,0.026367188,2.9165125,-0.0008166756,0.009857615,0.5758219361305237,17,8704,352.2560744418297,139264
115.98,0.6240000000000001,384,0.0002648607,0.0,2.915643,-0.0004080613,0.01134518,0.5460511147975922,18,9216,373.5410766969435,147456
110.17,0.643,362,0.0011412489,0.028442383,2.898864,-0.00069252023,0.010356691,0.6259779632091522,19,9728,396.1248372758273,155648
96.59,0.5800000000000002,375,0.00043384923,0.0020751953,2.9059322,-0.00021274517,0.010345085,0.6289145648479462,20,10240,417.92851319303736,163840
122.28,0.5780000000000001,384,0.00025251653,0.00018310547,2.8980012,-0.00047626573,0.008813508,0.6249377727508545,21,10752,439.2108586798422,172032
90.04,0.6380000000000001,362,0.0006699441,0.012329102,2.8852694,-0.00072377746,0.009353988,0.5898310244083405,22,11264,461.83751459396444,180224
92.45,0.5920000000000002,367,0.00037008963,0.007873535,2.8797045,-0.0009723411,0.009331698,0.6207121312618256,23,11776,484.1329994800035,188416
81.27,0.6430000000000001,358,0.0002702973,0.0020751953,2.8661866,-0.00027591747,0.010728469,0.5838160216808319,24,12288,507.01383423502557,196608
